Species,Type,Identifier,Title
"Erythrina abyssinica",PMID,"13679101","Anti-plasmodial activities and X-ray crystal structures of rotenoids from Millettia usaramensis subspecies usaramensis."
"Erythrina abyssinica",PMID,"29715541","Cytotoxic benzylbenzofuran derivatives from Dorstenia kameruniana."
"Erythrina abyssinica",PMID,"8254349","Ethnobotanical drug discovery based on medicine men's trials in the African savanna: screening of east African plants for antimicrobial activity II."
"Erythrina abyssinica",DOI,"10.1021/np50099a012","Ethnobotanical Drug Discovery Based on Medicine Men's Trials in the African Savanna: Screening of East African Plants for Antimicrobial Activity II"
"Erythrina abyssinica",DOI,"10.1016/j.fitote.2018.04.019","Cytotoxic benzylbenzofuran derivatives from Dorstenia kameruniana"
"Croton alienus",PMID,"12150799","Prenylated flavonoids of Erythrina lysistemon grown in Egypt."
"Croton alienus",PMID,"17691050","A novel antiplasmodial 3',5'-diformylchalcone and other constituents of Friesodielsia obovata."
"Croton alienus",PMID,"31362371","A New Benzopyranyl Cadenane Sesquiterpene and Other Antiplasmodial and Cytotoxic Metabolites from Cleistochlamys kirkii."
"Croton alienus",PMID,"25535086","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax."
"Croton alienus",PMID,"1775574","Antimalarial activity of Tanzanian plants and their active constituents: the genus Uvaria."
"Croton alienus",PMID,"33624570","A new isoquinoline and ceramide from the stem barks of Discoglypremna caloneura (Pax) Prain (Euphorbiaceae) with antiproteinase and cytotoxic activities."
"Croton alienus",PMID,"1368857","Biologically active diterpenes from Aspilia mossambicensis, a chimpanzee medicinal plant."
"Croton alienus",PMID,"30886338","Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches."
"Croton alienus",PMID,"25632460","Phenolic constituents of Erigeron floribundus (Asteraceae), a Cameroonian medicinal plant."
"Croton alienus",DOI,"10.1016/j.phytol.2015.04.026","Terpenoids from the stem bark of Neoboutonia macrocalyx (Euphorbiaceae)"
"Croton alienus",DOI,"10.1038/s41598-019-41403-x","Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches"
"Croton alienus",DOI,"10.1016/j.jep.2014.12.018","Antiplasmodial compounds from the stem bark of Neoboutonia macrocalyx pax"
"Neoboutonia macrocalyx",PMID,"21139276","Ceramide and Cerebroside from the stem bark of Ficus mucuso (Moraceae)."
"Neoboutonia macrocalyx",PMID,"33163682","Botanicals from the leaves of Acacia sieberiana had better cytotoxic effects than isolated phytochemicals towards MDR cancer cells lines."
"Neoboutonia macrocalyx",PMID,"33624570","A new isoquinoline and ceramide from the stem barks of Discoglypremna caloneura (Pax) Prain (Euphorbiaceae) with antiproteinase and cytotoxic activities."
"Neoboutonia macrocalyx",PMID,"27286332","New ent-Clerodane and Abietane Diterpenoids from the Roots of Kenyan Croton megalocarpoides Friis & M. G. Gilbert."
"Neoboutonia macrocalyx",PMID,"29438356","Ent-Clerodane Diterpenes from the Bark of Croton oligandrus Pierre ex Hutch. and Assessment of Their Cytotoxicity against Human Cancer Cell Lines."
"Neoboutonia macrocalyx",PMID,"38458316","Comments on: "Comparative study of a Y-anatomical and innovative locking plate versus double plate for supracondylar humeral fracture" by H. Barret, R. Ceccarelli, P. Vial d'Allais, M. Winter, M. Chammas, B. Coulet, C. Lazerges published in Orthop Traumatol Surg Res 2023;109:103380. doi:10.1016/j.otsr.2022.103380."
"Neoboutonia macrocalyx",PMID,"23537889","Two new tryptophan derivatives from the seed kernels of Entada rheedei: effects on cell viability and HIV infectivity."
"Neoboutonia macrocalyx",PMID,"31560992","Bioguided identification of daucosterol, a compound that contributes to the cytotoxicity effects of Crateva adansonii DC (capparaceae) to prostate cancer cells."
"Neoboutonia macrocalyx",PMID,"34054358","An Efflux Pumps Inhibitor Significantly Improved the Antibacterial Activity of Botanicals from Plectranthus glandulosus towards MDR Phenotypes."
"Neoboutonia macrocalyx",PMID,"33648401","Antimicrobial and cytotoxic activities of indole alkaloids and other constituents from the stem barks of Rauvolfia caffra Sond (Apocynaceae)."
"Neoboutonia macrocalyx",PMID,"25279277","Antityphoid and radical scavenging properties of the methanol extracts and compounds from the aerial part of Paullinia pinnata."
"Neoboutonia macrocalyx",PMID,"31148485","Crotoliganfuran, a new clerodane-type furano-diterpenoid from Croton oligandrus Pierre ex Hutch."
"Neoboutonia macrocalyx",PMID,"17499823","Anthraquinones from the stem bark of Stereospermum zenkeri with antimicrobial activity."
"Neoboutonia macrocalyx",PMID,"24356872","Alienusolin, a new 4α-deoxyphorbol ester derivative, and crotonimide C, a new glutarimide alkaloid from the Kenyan Croton alienus."
"Neoboutonia macrocalyx",PMID,"23418169","Chemical constituents from Glyphaea brevis and Monodora myristica: chemotaxonomic significance."
"Neoboutonia macrocalyx",PMID,"36837917","Constituents of the Stem Bark of Trichilia monadelpha (Thonn.) J. J. De Wilde (Meliaceae) and Their Antibacterial and Antiplasmodial Activities."
"Neoboutonia macrocalyx",PMID,"24547806","New flavonoids C-glycosides from Rhabdophyllum arnoldianum."
"Neoboutonia macrocalyx",PMID,"31274013","Contortamide, a new anti-colon cancer cerebroside and other constituents from Tabernaemontana contorta Stapf (Apocynaceae)."
"Neoboutonia macrocalyx",PMID,"21612612","Antimicrobial activities of the methanol extract and compounds from Artocarpus communis (Moraceae)."
"Neoboutonia macrocalyx",PMID,"38125494","New lignan glycosides from Justicia secunda Vahl (Acanthaceae) with antimicrobial and antiparasitic properties."
"Neoboutonia macrocalyx",PMID,"25277679","Antimicrobial steroidal saponin and oleanane-type triterpenoid saponins from Paullinia pinnata."
"Neoboutonia macrocalyx",PMID,"39140554","ERRATUM."
"Neoboutonia macrocalyx",PMID,"26802608","Ericoside, a new antibacterial biflavonoid from Erica mannii (Ericaceae)."
"Neoboutonia macrocalyx",PMID,"37345499","Isolation and antibacterial activity of anomanol B and other secondary metabolites from the stem bark of Anonidium mannii (Annonaceae)."
"Neoboutonia macrocalyx",PMID,"30886338","Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches."
"Neoboutonia macrocalyx",PMID,"11014271","Sesquiterpene lactone and friedelane derivative from drypetes molunduana."
"Neoboutonia macrocalyx",PMID,"33244992","Antifungal potential of extracts, fractions and compounds from Uvaria comperei (Annonaceae) and Oxyanthus unilocularis (Rubiaceae)."
"Neoboutonia macrocalyx",PMID,"28065698","The structure of antrocarine E, an ergostane isolated from Antrocaryon klaineanum Pierre (Anacardiaceae)."
"Neoboutonia macrocalyx",PMID,"34694175","Alkenylbenzoquinones and other compounds from the fruit of Maesa lanceolata exhibited potent cytotoxic, antibacterial, and antiradical scavenging activities(§)."
"Neoboutonia macrocalyx",PMID,"26320684","Antiplasmodial and cytotoxic activities of the constituents of Turraea robusta and Turraea nilotica."
"Neoboutonia macrocalyx",PMID,"25632460","Phenolic constituents of Erigeron floribundus (Asteraceae), a Cameroonian medicinal plant."
"Neoboutonia macrocalyx",PMID,"31170979","Antibacterial and antibiotic-modifying activities of fractions and compounds from Albizia adianthifolia against MDR Gram-negative enteric bacteria."
"Neoboutonia macrocalyx",DOI,"10.1016/j.jep.2015.08.039","Antiplasmodial and cytotoxic activities of the constituents of Turraea robusta and Turraea nilotica"
"Neoboutonia macrocalyx",DOI,"10.1016/j.fitote.2013.03.017","Two new tryptophan derivatives from the seed kernels of Entada rheedei: Effects on cell viability and HIV infectivity"
"Neoboutonia macrocalyx",DOI,"10.1016/j.phytol.2014.01.010","Antiplasmodial anthraquinones and hemisynthetic derivatives from the leaves of Tectona grandis (Verbenaceae)"
"Neoboutonia macrocalyx",DOI,"10.4314/br.v20i3.12","Evaluation of bio-active constituents and In vitro antioxidant potentials of the ethanolic leaf extracts of Dracaena mannii, Euphorbia hirta and Senna alata"
"Neoboutonia macrocalyx",DOI,"10.1080/14786419.2019.1613399","Crotoliganfuran, a new clerodane-type furano-diterpenoid from <i>Croton oligandrus</i> Pierre ex Hutch"
"Neoboutonia macrocalyx",DOI,"10.3390/molecules23020410","Ent-Clerodane Diterpenes from the Bark of Croton oligandrus Pierre ex Hutch. and Assessment of Their Cytotoxicity against Human Cancer Cell Lines"
"Neoboutonia macrocalyx",DOI,"10.1155/2021/5597524","An Efflux Pumps Inhibitor Significantly Improved the Antibacterial Activity of Botanicals from Plectranthus glandulosus towards MDR Phenotypes"
"Neoboutonia macrocalyx",DOI,"10.1016/j.phytol.2019.12.009","Bignanoside A "A new neolignan glucoside" and bignanoside B "A new iridoid glucoside" from Bignonia binata leaves"
"Neoboutonia macrocalyx",DOI,"10.1016/j.fitote.2015.12.022","Ericoside, a new antibacterial biflavonoid from Erica mannii (Ericaceae)"
"Neoboutonia macrocalyx",DOI,"10.1016/j.phytochem.2007.03.037","Anthraquinones from the stem bark of Stereospermum zenkeri with antimicrobial activity"
"Neoboutonia macrocalyx",DOI,"10.1080/14786419.2021.1891054","Antimicrobial and cytotoxic activities of indole alkaloids and other constituents from the stem barks of <i>Rauvolfia caffra</i> Sond (Apocynaceae)"
"Neoboutonia macrocalyx",DOI,"10.1248/cpb.58.1661","Ceramide and Cerebroside from the Stem Bark of Ficus mucuso (Moraceae)"
