Species,Type,Identifier,Title
"Mentha pulegium",DOI,"10.1186/2191-2858-2-2","Chemical composition and antibacterial activity of the essential oils from Launaea resedifolia L"
"Mentha pulegium",DOI,"10.1016/j.phymed.2011.12.003","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection – bacteria and their synergistic potential with antibiotics"
"Mentha pulegium",DOI,"10.1016/j.bse.2003.12.009","Chemical analysis and biological activities of the essential oil of Teucrium leucocladum Boiss. (Lamiaceae)"
"Gynandropsis gynandra",PMID,"22906882","Chemical and genetic diversity of two Mediterranean subspecies of Teucrium polium L."
"Gynandropsis gynandra",PMID,"34154474","Volatiles, phenolic compounds, antioxidant and antibacterial properties of kohlrabi leaves."
"Gynandropsis gynandra",PMID,"11393518","Blend effects in the toxicity of the essential oil constituents of Ocimum kilimandscharicum and Ocimum kenyense (Labiateae) on two post-harvest insect pests."
"Gynandropsis gynandra",PMID,"12049234","Odor composition of preferred (buffalo and ox) and nonpreferred (waterbuck) hosts of some Savanna tsetse flies."
"Gynandropsis gynandra",PMID,"15474566","Repellency of essential oils of some Kenyan plants against Anopheles gambiae."
"Gynandropsis gynandra",PMID,"27569885","Chemical composition, antiproliferative, antioxidant and antibacterial activities of essential oils from aromatic plants growing in Sudan."
"Gynandropsis gynandra",PMID,"27721831","Chemical Composition and Antibacterial Activity of Essential Oils of Tagetes minuta (Asteraceae) against Selected Plant Pathogenic Bacteria."
"Gynandropsis gynandra",PMID,"11975493","New cytotoxic 6,7-cis and 6,7-trans configured guaianolides from Warionia saharae."
"Gynandropsis gynandra",PMID,"22257599","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection - bacteria and their synergistic potential with antibiotics."
"Gynandropsis gynandra",PMID,"11449503","Antibacterial and molluscicidal activities of the essential oil of Chrysanthemum viscidehirtum."
"Gynandropsis gynandra",PMID,"15898704","Extracts and constituents of Lavandula multifida with topical anti-inflammatory activity."
"Gynandropsis gynandra",PMID,"20554185","Anticandidal activity of the essential oils of Thymus maroccanus and Thymus broussonetii and their synergism with amphotericin B and fluconazol."
"Gynandropsis gynandra",PMID,"31009247","Chemical constituents and HRESI-MS analysis of an Algerian endemic plant - Verbascum atlanticum batt. - extracts and their antioxidant activity."
"Gynandropsis gynandra",PMID,"12789127","Bioassay-guided studies on the cytotoxic and in vitro trypanocidal activities of a sesquiterpene (Muzigadial) derived from a Ugandan medicinal plant (Warburgia ugandensis)."
"Gynandropsis gynandra",PMID,"11830156","Two octanordammarane triterpenes from Commiphora kua."
"Gynandropsis gynandra",PMID,"22119065","Chemical and genetic differentiation of two Mediterranean subspecies of Teucrium scorodonia L."
"Gynandropsis gynandra",PMID,"22373506","Chemical composition and antibacterial activity of the essential oils from Launaea resedifolia L."
"Gynandropsis gynandra",PMID,"21240765","Chemical composition of essential oils from leaves, stems, flower heads and roots of Conyza bonariensis L. from Tunisia."
"Gynandropsis gynandra",DOI,"10.1016/j.bse.2007.05.009","Chemical composition and antimicrobial activity of essential oils of Cupressus arizonica Greene"
"Gynandropsis gynandra",DOI,"10.1016/j.phymed.2010.03.020","Anticandidal activity of the essential oils of Thymus maroccanus and Thymus broussonetii and their synergism with amphotericin B and fluconazol"
"Gynandropsis gynandra",DOI,"10.1186/2191-2858-2-2","Chemical composition and antibacterial activity of the essential oils from Launaea resedifolia L"
"Gynandropsis gynandra",DOI,"10.1016/j.phymed.2011.12.003","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection – bacteria and their synergistic potential with antibiotics"
"Gynandropsis gynandra",DOI,"10.1016/j.bse.2003.12.009","Chemical analysis and biological activities of the essential oil of Teucrium leucocladum Boiss. (Lamiaceae)"
"Diplotaxis harra",PMID,"22906882","Chemical and genetic diversity of two Mediterranean subspecies of Teucrium polium L."
"Diplotaxis harra",PMID,"34154474","Volatiles, phenolic compounds, antioxidant and antibacterial properties of kohlrabi leaves."
"Diplotaxis harra",PMID,"27569885","Chemical composition, antiproliferative, antioxidant and antibacterial activities of essential oils from aromatic plants growing in Sudan."
"Diplotaxis harra",PMID,"27721831","Chemical Composition and Antibacterial Activity of Essential Oils of Tagetes minuta (Asteraceae) against Selected Plant Pathogenic Bacteria."
"Diplotaxis harra",PMID,"22257599","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection - bacteria and their synergistic potential with antibiotics."
"Diplotaxis harra",PMID,"12789127","Bioassay-guided studies on the cytotoxic and in vitro trypanocidal activities of a sesquiterpene (Muzigadial) derived from a Ugandan medicinal plant (Warburgia ugandensis)."
"Diplotaxis harra",DOI,"10.1016/j.bse.2007.05.009","Chemical composition and antimicrobial activity of essential oils of Cupressus arizonica Greene"
"Diplotaxis harra",DOI,"10.1016/j.phymed.2011.12.003","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection – bacteria and their synergistic potential with antibiotics"
"Artemisia herba-alba",PMID,"22906882","Chemical and genetic diversity of two Mediterranean subspecies of Teucrium polium L."
"Artemisia herba-alba",PMID,"25928352","Antimicrobial and antioxidant flavonoids from the leaves of Oncoba spinosa Forssk. (Salicaceae)."
"Artemisia herba-alba",PMID,"16303155","Phytochemical constituents and hepatoprotective activity of Viburnum tinus."
"Artemisia herba-alba",PMID,"17365690","Phenolics of Moringa oleifera leaves."
"Artemisia herba-alba",PMID,"18164558","Compositions and antifungal activities of essential oils of some Algerian aromatic plants."
"Artemisia herba-alba",PMID,"22257599","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection - bacteria and their synergistic potential with antibiotics."
"Artemisia herba-alba",PMID,"5648113","Crotepoxide, a novel cyclohexane diepoxide tumor inhibitor from Croton macrostachys."
"Artemisia herba-alba",PMID,"39146520","Navigating the Labyrinth of Pregnancy-Related Coverage for Undocumented Immigrants: An Assessment of Current State and Federal Policies."
"Artemisia herba-alba",PMID,"10820798","Triterpenoid saponins and sapogenin lactones from Albizia gummifera."
"Artemisia herba-alba",PMID,"11830156","Two octanordammarane triterpenes from Commiphora kua."
"Artemisia herba-alba",PMID,"11054840","Inhibitory effects of sudanese medicinal plant extracts on hepatitis C virus (HCV) protease."
"Artemisia herba-alba",PMID,"10746883","Unusual phenolic glycosides from Cotoneaster orbicularis."
"Artemisia herba-alba",PMID,"27417554","Antioxidant and antibacterial activities and polyphenolic constituents of Helianthemum sessiliflorum Pers."
"Artemisia herba-alba",PMID,"20189399","Melanogenesis inhibitors from the desert plant Anastatica hierochuntica in B16 melanoma cells."
"Artemisia herba-alba",PMID,"15474566","Repellency of essential oils of some Kenyan plants against Anopheles gambiae."
"Artemisia herba-alba",PMID,"16766003","Three ent-trachylobane diterpenes from the leaf exudates of Psiadia punctulata."
"Artemisia herba-alba",PMID,"18998404","Essential oil of Daucus glaber Forssk."
"Artemisia herba-alba",PMID,"27569885","Chemical composition, antiproliferative, antioxidant and antibacterial activities of essential oils from aromatic plants growing in Sudan."
"Artemisia herba-alba",PMID,"10913855","The flavonoids of four Pistacia species in Egypt."
"Artemisia herba-alba",PMID,"21299130","Essential oils of Daucus carota subsp. carota of Tunisia obtained by supercritical carbon dioxide extraction."
"Artemisia herba-alba",PMID,"20554185","Anticandidal activity of the essential oils of Thymus maroccanus and Thymus broussonetii and their synergism with amphotericin B and fluconazol."
"Artemisia herba-alba",PMID,"20120108","Constituents of the polar extracts from Algerian Pituranthos scoparius."
"Artemisia herba-alba",PMID,"27584870","Quercus ilex L.: How season, Plant Organ and Extraction Procedure Can Influence Chemistry and Bioactivities."
"Artemisia herba-alba",PMID,"33949276","Potential of (Citrus nobilis Lour × Citrus deliciosa Tenora) metabolites on COVID-19 virus main protease supported by in silico analysis."
"Artemisia herba-alba",PMID,"22119065","Chemical and genetic differentiation of two Mediterranean subspecies of Teucrium scorodonia L."
"Artemisia herba-alba",PMID,"14559287","Flavonol glycosides of Warburgia ugandensis leaves."
"Artemisia herba-alba",PMID,"21240765","Chemical composition of essential oils from leaves, stems, flower heads and roots of Conyza bonariensis L. from Tunisia."
"Artemisia herba-alba",PMID,"11449469","Quercetin triglycoside from Capparis spinosa."
"Artemisia herba-alba",PMID,"27721831","Chemical Composition and Antibacterial Activity of Essential Oils of Tagetes minuta (Asteraceae) against Selected Plant Pathogenic Bacteria."
"Artemisia herba-alba",PMID,"12736444","Dammarane triterpenes of Commiphora confusa resin."
"Artemisia herba-alba",PMID,"19551729","Flower and root oils of the tunisian Daucus carota L. ssp. maritimus (Apiaceae): integrated analyses by GC, GC/MS, and 13C-NMR spectroscopy, and in vitro antibacterial activity."
"Artemisia herba-alba",PMID,"12789127","Bioassay-guided studies on the cytotoxic and in vitro trypanocidal activities of a sesquiterpene (Muzigadial) derived from a Ugandan medicinal plant (Warburgia ugandensis)."
"Artemisia herba-alba",PMID,"31951477","Shoot aqueous extract of Manihot esculenta Crantz (cassava) acts as a protective agent against paracetamol-induced liver injury."
"Artemisia herba-alba",PMID,"12049234","Odor composition of preferred (buffalo and ox) and nonpreferred (waterbuck) hosts of some Savanna tsetse flies."
"Artemisia herba-alba",PMID,"19241279","Chemical composition, insecticidal and insect repellent activity of Schinus molle L. leaf and fruit essential oils against Trogoderma granarium and Tribolium castaneum."
"Artemisia herba-alba",PMID,"11393518","Blend effects in the toxicity of the essential oil constituents of Ocimum kilimandscharicum and Ocimum kenyense (Labiateae) on two post-harvest insect pests."
"Artemisia herba-alba",PMID,"11449503","Antibacterial and molluscicidal activities of the essential oil of Chrysanthemum viscidehirtum."
"Artemisia herba-alba",PMID,"15898704","Extracts and constituents of Lavandula multifida with topical anti-inflammatory activity."
"Artemisia herba-alba",PMID,"23195766","Anti-HIV activity of flavonoids and proanthocyanidins from Crataegus sinaica."
"Artemisia herba-alba",DOI,"10.1016/0031-9422(83)80148-4","A chemosystematic study of some geraniaceae"
"Artemisia herba-alba",DOI,"10.1016/j.phymed.2010.03.020","Anticandidal activity of the essential oils of Thymus maroccanus and Thymus broussonetii and their synergism with amphotericin B and fluconazol"
"Artemisia herba-alba",DOI,"10.1186/s12906-015-0660-1","Antimicrobial and antioxidant flavonoids from the leaves of Oncoba spinosa Forssk. (Salicaceae)"
"Artemisia herba-alba",DOI,"10.1016/0305-1978(88)90094-4","Non 6-methoxyflavonoids from Brickellia coulteri and 6-methoxylated flavonoids from B. microphylla"
"Artemisia herba-alba",DOI,"10.1080/14786419.2016.1209669","Antioxidant and antibacterial activities and polyphenolic constituents of <i>Helianthemum sessiliflorum</i> Pers."
"Artemisia herba-alba",DOI,"10.1080/14786410802346223","Chemical composition, insecticidal and insect repellent activity of <i>Schinus molle</i> L. leaf and fruit essential oils against <i>Trogoderma granarium</i> and <i>Tribolium castaneum</i>"
"Artemisia herba-alba",DOI,"10.1016/j.fitote.2007.11.004","Compositions and antifungal activities of essential oils of some Algerian aromatic plants"
"Artemisia herba-alba",DOI,"10.1016/j.phymed.2011.12.003","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection – bacteria and their synergistic potential with antibiotics"
"Artemisia herba-alba",DOI,"10.1016/j.bse.2003.12.009","Chemical analysis and biological activities of the essential oil of Teucrium leucocladum Boiss. (Lamiaceae)"
"Artemisia herba-alba",DOI,"10.1002/cbdv.201600187","<i>Quercus ilex</i> L.: How season, Plant Organ and Extraction Procedure Can Influence Chemistry and Bioactivities"
"Artemisia herba-alba",DOI,"10.1080/14786419.2021.1917573","Potential of (<i>Citrus nobilis</i> Lour × <i>Citrus deliciosa</i> Tenora) metabolites on COVID-19 virus main protease supported by in silico analysis"
"Artemisia herba-alba",DOI,"10.1016/j.phytol.2013.10.006","Phenolic glycosides from Tabebuia argentea and Catalpa bignonioides"
"Artemisia herba-alba",DOI,"10.1016/j.bse.2007.05.009","Chemical composition and antimicrobial activity of essential oils of Cupressus arizonica Greene"
"Artemisia herba-alba",DOI,"10.1016/0305-1978(88)90072-5","The chemosystematics of local members of the subtribe gnaphaliinae (Compositae)"
"Artemisia herba-alba",DOI,"10.1016/j.bse.2006.07.006","Intra- and interspecific variations in vacuolar flavonoids among Ficus species from the Budongo Forest, Uganda"
"Artemisia herba-alba",DOI,"10.1016/j.bse.2006.05.002","Flavonoids from Anvillea radiata Coss. &amp; Dur. (Asteraceae)"
"Artemisia herba-alba",DOI,"10.1016/0031-9422(88)83101-7","Volatile aroma constituents of celery"
"Artemisia herba-alba",DOI,"10.1021/np50050a047","Sulfated and Non-Sulfated Flavonoids from Pluchea dioscoridis"
"Foeniculum vulgare",PMID,"22906882","Chemical and genetic diversity of two Mediterranean subspecies of Teucrium polium L."
"Foeniculum vulgare",PMID,"11393518","Blend effects in the toxicity of the essential oil constituents of Ocimum kilimandscharicum and Ocimum kenyense (Labiateae) on two post-harvest insect pests."
"Foeniculum vulgare",PMID,"15474566","Repellency of essential oils of some Kenyan plants against Anopheles gambiae."
"Foeniculum vulgare",PMID,"16766003","Three ent-trachylobane diterpenes from the leaf exudates of Psiadia punctulata."
"Foeniculum vulgare",PMID,"18998404","Essential oil of Daucus glaber Forssk."
"Foeniculum vulgare",PMID,"27569885","Chemical composition, antiproliferative, antioxidant and antibacterial activities of essential oils from aromatic plants growing in Sudan."
"Foeniculum vulgare",PMID,"27721831","Chemical Composition and Antibacterial Activity of Essential Oils of Tagetes minuta (Asteraceae) against Selected Plant Pathogenic Bacteria."
"Foeniculum vulgare",PMID,"18164558","Compositions and antifungal activities of essential oils of some Algerian aromatic plants."
"Foeniculum vulgare",PMID,"22257599","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection - bacteria and their synergistic potential with antibiotics."
"Foeniculum vulgare",PMID,"12736444","Dammarane triterpenes of Commiphora confusa resin."
"Foeniculum vulgare",PMID,"11449503","Antibacterial and molluscicidal activities of the essential oil of Chrysanthemum viscidehirtum."
"Foeniculum vulgare",PMID,"20554185","Anticandidal activity of the essential oils of Thymus maroccanus and Thymus broussonetii and their synergism with amphotericin B and fluconazol."
"Foeniculum vulgare",PMID,"12789127","Bioassay-guided studies on the cytotoxic and in vitro trypanocidal activities of a sesquiterpene (Muzigadial) derived from a Ugandan medicinal plant (Warburgia ugandensis)."
"Foeniculum vulgare",PMID,"11830156","Two octanordammarane triterpenes from Commiphora kua."
"Foeniculum vulgare",PMID,"22119065","Chemical and genetic differentiation of two Mediterranean subspecies of Teucrium scorodonia L."
"Foeniculum vulgare",PMID,"19241279","Chemical composition, insecticidal and insect repellent activity of Schinus molle L. leaf and fruit essential oils against Trogoderma granarium and Tribolium castaneum."
"Foeniculum vulgare",PMID,"21240765","Chemical composition of essential oils from leaves, stems, flower heads and roots of Conyza bonariensis L. from Tunisia."
"Foeniculum vulgare",DOI,"10.1016/j.bse.2007.05.009","Chemical composition and antimicrobial activity of essential oils of Cupressus arizonica Greene"
"Foeniculum vulgare",DOI,"10.1080/14786410802346223","Chemical composition, insecticidal and insect repellent activity of <i>Schinus molle</i> L. leaf and fruit essential oils against <i>Trogoderma granarium</i> and <i>Tribolium castaneum</i>"
"Foeniculum vulgare",DOI,"10.1016/0031-9422(88)83101-7","Volatile aroma constituents of celery"
"Foeniculum vulgare",DOI,"10.1016/j.phymed.2010.03.020","Anticandidal activity of the essential oils of Thymus maroccanus and Thymus broussonetii and their synergism with amphotericin B and fluconazol"
"Foeniculum vulgare",DOI,"10.1016/j.fitote.2007.11.004","Compositions and antifungal activities of essential oils of some Algerian aromatic plants"
"Foeniculum vulgare",DOI,"10.1016/j.phymed.2011.12.003","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection – bacteria and their synergistic potential with antibiotics"
"Foeniculum vulgare",DOI,"10.1016/j.bse.2003.12.009","Chemical analysis and biological activities of the essential oil of Teucrium leucocladum Boiss. (Lamiaceae)"
"Croton zambesicus",PMID,"22906882","Chemical and genetic diversity of two Mediterranean subspecies of Teucrium polium L."
"Croton zambesicus",PMID,"18164558","Compositions and antifungal activities of essential oils of some Algerian aromatic plants."
"Croton zambesicus",PMID,"22257599","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection - bacteria and their synergistic potential with antibiotics."
"Croton zambesicus",PMID,"11830156","Two octanordammarane triterpenes from Commiphora kua."
"Croton zambesicus",PMID,"21299130","Essential oils of Daucus carota subsp. carota of Tunisia obtained by supercritical carbon dioxide extraction."
"Croton zambesicus",PMID,"15474566","Repellency of essential oils of some Kenyan plants against Anopheles gambiae."
"Croton zambesicus",PMID,"16766003","Three ent-trachylobane diterpenes from the leaf exudates of Psiadia punctulata."
"Croton zambesicus",PMID,"18998404","Essential oil of Daucus glaber Forssk."
"Croton zambesicus",PMID,"27569885","Chemical composition, antiproliferative, antioxidant and antibacterial activities of essential oils from aromatic plants growing in Sudan."
"Croton zambesicus",PMID,"20554185","Anticandidal activity of the essential oils of Thymus maroccanus and Thymus broussonetii and their synergism with amphotericin B and fluconazol."
"Croton zambesicus",PMID,"22119065","Chemical and genetic differentiation of two Mediterranean subspecies of Teucrium scorodonia L."
"Croton zambesicus",PMID,"18826277","Antiproliferative triterpenes from Melaleuca ericifolia."
"Croton zambesicus",PMID,"16483619","Two unusual rotenoid derivatives, 7a-O-methyl-12a-hydroxydeguelol and spiro-13-homo-13-oxaelliptone, from the seeds of Derris trifoliata."
"Croton zambesicus",PMID,"27721831","Chemical Composition and Antibacterial Activity of Essential Oils of Tagetes minuta (Asteraceae) against Selected Plant Pathogenic Bacteria."
"Croton zambesicus",PMID,"12736444","Dammarane triterpenes of Commiphora confusa resin."
"Croton zambesicus",PMID,"19551729","Flower and root oils of the tunisian Daucus carota L. ssp. maritimus (Apiaceae): integrated analyses by GC, GC/MS, and 13C-NMR spectroscopy, and in vitro antibacterial activity."
"Croton zambesicus",PMID,"12789127","Bioassay-guided studies on the cytotoxic and in vitro trypanocidal activities of a sesquiterpene (Muzigadial) derived from a Ugandan medicinal plant (Warburgia ugandensis)."
"Croton zambesicus",PMID,"19241279","Chemical composition, insecticidal and insect repellent activity of Schinus molle L. leaf and fruit essential oils against Trogoderma granarium and Tribolium castaneum."
"Croton zambesicus",PMID,"22373506","Chemical composition and antibacterial activity of the essential oils from Launaea resedifolia L."
"Croton zambesicus",PMID,"11393518","Blend effects in the toxicity of the essential oil constituents of Ocimum kilimandscharicum and Ocimum kenyense (Labiateae) on two post-harvest insect pests."
"Croton zambesicus",PMID,"11449503","Antibacterial and molluscicidal activities of the essential oil of Chrysanthemum viscidehirtum."
"Croton zambesicus",DOI,"10.1016/j.bse.2007.05.009","Chemical composition and antimicrobial activity of essential oils of Cupressus arizonica Greene"
"Croton zambesicus",DOI,"10.1080/14786410802346223","Chemical composition, insecticidal and insect repellent activity of <i>Schinus molle</i> L. leaf and fruit essential oils against <i>Trogoderma granarium</i> and <i>Tribolium castaneum</i>"
"Croton zambesicus",DOI,"10.1016/j.phymed.2010.03.020","Anticandidal activity of the essential oils of Thymus maroccanus and Thymus broussonetii and their synergism with amphotericin B and fluconazol"
"Croton zambesicus",DOI,"10.1016/j.fitote.2007.11.004","Compositions and antifungal activities of essential oils of some Algerian aromatic plants"
"Croton zambesicus",DOI,"10.1186/2191-2858-2-2","Chemical composition and antibacterial activity of the essential oils from Launaea resedifolia L"
"Croton zambesicus",DOI,"10.1016/j.phymed.2011.12.003","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection – bacteria and their synergistic potential with antibiotics"
"Croton zambesicus",DOI,"10.1016/j.bse.2003.12.009","Chemical analysis and biological activities of the essential oil of Teucrium leucocladum Boiss. (Lamiaceae)"
"Croton zambesicus",DOI,"10.1016/j.phytol.2023.06.009","Lupane derivatives: Design, isolation, synthesis and evaluation of antiplasmodial activity against Plasmodium falciparum 3D7 strain"
"Thymus broussonetti",PMID,"22906882","Chemical and genetic diversity of two Mediterranean subspecies of Teucrium polium L."
"Thymus broussonetti",PMID,"18164558","Compositions and antifungal activities of essential oils of some Algerian aromatic plants."
"Thymus broussonetti",PMID,"11830156","Two octanordammarane triterpenes from Commiphora kua."
"Thymus broussonetti",PMID,"21299130","Essential oils of Daucus carota subsp. carota of Tunisia obtained by supercritical carbon dioxide extraction."
"Thymus broussonetti",PMID,"15474566","Repellency of essential oils of some Kenyan plants against Anopheles gambiae."
"Thymus broussonetti",PMID,"16766003","Three ent-trachylobane diterpenes from the leaf exudates of Psiadia punctulata."
"Thymus broussonetti",PMID,"18998404","Essential oil of Daucus glaber Forssk."
"Thymus broussonetti",PMID,"27569885","Chemical composition, antiproliferative, antioxidant and antibacterial activities of essential oils from aromatic plants growing in Sudan."
"Thymus broussonetti",PMID,"22119065","Chemical and genetic differentiation of two Mediterranean subspecies of Teucrium scorodonia L."
"Thymus broussonetti",PMID,"21240765","Chemical composition of essential oils from leaves, stems, flower heads and roots of Conyza bonariensis L. from Tunisia."
"Thymus broussonetti",PMID,"27721831","Chemical Composition and Antibacterial Activity of Essential Oils of Tagetes minuta (Asteraceae) against Selected Plant Pathogenic Bacteria."
"Thymus broussonetti",PMID,"12736444","Dammarane triterpenes of Commiphora confusa resin."
"Thymus broussonetti",PMID,"19551729","Flower and root oils of the tunisian Daucus carota L. ssp. maritimus (Apiaceae): integrated analyses by GC, GC/MS, and 13C-NMR spectroscopy, and in vitro antibacterial activity."
"Thymus broussonetti",PMID,"12789127","Bioassay-guided studies on the cytotoxic and in vitro trypanocidal activities of a sesquiterpene (Muzigadial) derived from a Ugandan medicinal plant (Warburgia ugandensis)."
"Thymus broussonetti",PMID,"12049234","Odor composition of preferred (buffalo and ox) and nonpreferred (waterbuck) hosts of some Savanna tsetse flies."
"Thymus broussonetti",PMID,"19241279","Chemical composition, insecticidal and insect repellent activity of Schinus molle L. leaf and fruit essential oils against Trogoderma granarium and Tribolium castaneum."
"Thymus broussonetti",PMID,"11393518","Blend effects in the toxicity of the essential oil constituents of Ocimum kilimandscharicum and Ocimum kenyense (Labiateae) on two post-harvest insect pests."
"Thymus broussonetti",PMID,"11449503","Antibacterial and molluscicidal activities of the essential oil of Chrysanthemum viscidehirtum."
"Thymus broussonetti",PMID,"15898704","Extracts and constituents of Lavandula multifida with topical anti-inflammatory activity."
"Thymus broussonetti",DOI,"10.1016/j.bse.2007.05.009","Chemical composition and antimicrobial activity of essential oils of Cupressus arizonica Greene"
"Thymus broussonetti",DOI,"10.1080/14786410802346223","Chemical composition, insecticidal and insect repellent activity of <i>Schinus molle</i> L. leaf and fruit essential oils against <i>Trogoderma granarium</i> and <i>Tribolium castaneum</i>"
"Thymus broussonetti",DOI,"10.1016/j.fitote.2007.11.004","Compositions and antifungal activities of essential oils of some Algerian aromatic plants"
"Thymus broussonetti",DOI,"10.1016/j.bse.2003.12.009","Chemical analysis and biological activities of the essential oil of Teucrium leucocladum Boiss. (Lamiaceae)"
"Artemisia herba",PMID,"22906882","Chemical and genetic diversity of two Mediterranean subspecies of Teucrium polium L."
"Artemisia herba",PMID,"11393518","Blend effects in the toxicity of the essential oil constituents of Ocimum kilimandscharicum and Ocimum kenyense (Labiateae) on two post-harvest insect pests."
"Artemisia herba",PMID,"15474566","Repellency of essential oils of some Kenyan plants against Anopheles gambiae."
"Artemisia herba",PMID,"16766003","Three ent-trachylobane diterpenes from the leaf exudates of Psiadia punctulata."
"Artemisia herba",PMID,"27569885","Chemical composition, antiproliferative, antioxidant and antibacterial activities of essential oils from aromatic plants growing in Sudan."
"Artemisia herba",PMID,"18164558","Compositions and antifungal activities of essential oils of some Algerian aromatic plants."
"Artemisia herba",PMID,"12736444","Dammarane triterpenes of Commiphora confusa resin."
"Artemisia herba",PMID,"22257599","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection - bacteria and their synergistic potential with antibiotics."
"Artemisia herba",PMID,"11449503","Antibacterial and molluscicidal activities of the essential oil of Chrysanthemum viscidehirtum."
"Artemisia herba",PMID,"20554185","Anticandidal activity of the essential oils of Thymus maroccanus and Thymus broussonetii and their synergism with amphotericin B and fluconazol."
"Artemisia herba",PMID,"11830156","Two octanordammarane triterpenes from Commiphora kua."
"Artemisia herba",PMID,"19241279","Chemical composition, insecticidal and insect repellent activity of Schinus molle L. leaf and fruit essential oils against Trogoderma granarium and Tribolium castaneum."
"Artemisia herba",DOI,"10.1016/j.bse.2007.05.009","Chemical composition and antimicrobial activity of essential oils of Cupressus arizonica Greene"
"Artemisia herba",DOI,"10.1080/14786410802346223","Chemical composition, insecticidal and insect repellent activity of <i>Schinus molle</i> L. leaf and fruit essential oils against <i>Trogoderma granarium</i> and <i>Tribolium castaneum</i>"
"Artemisia herba",DOI,"10.1016/j.phymed.2010.03.020","Anticandidal activity of the essential oils of Thymus maroccanus and Thymus broussonetii and their synergism with amphotericin B and fluconazol"
"Artemisia herba",DOI,"10.1016/j.fitote.2007.11.004","Compositions and antifungal activities of essential oils of some Algerian aromatic plants"
"Artemisia herba",DOI,"10.1016/j.phymed.2011.12.003","Antibacterial activity of Thymus maroccanus and Thymus broussonetii essential oils against nosocomial infection – bacteria and their synergistic potential with antibiotics"
"Artemisia herba",DOI,"10.1016/j.bse.2003.12.009","Chemical analysis and biological activities of the essential oil of Teucrium leucocladum Boiss. (Lamiaceae)"
"Artemisia judaica",PMID,"22906882","Chemical and genetic diversity of two Mediterranean subspecies of Teucrium polium L."
"Artemisia judaica",PMID,"11393518","Blend effects in the toxicity of the essential oil constituents of Ocimum kilimandscharicum and Ocimum kenyense (Labiateae) on two post-harvest insect pests."
"Artemisia judaica",PMID,"15474566","Repellency of essential oils of some Kenyan plants against Anopheles gambiae."
"Artemisia judaica",PMID,"16766003","Three ent-trachylobane diterpenes from the leaf exudates of Psiadia punctulata."
"Artemisia judaica",PMID,"27569885","Chemical composition, antiproliferative, antioxidant and antibacterial activities of essential oils from aromatic plants growing in Sudan."
"Artemisia judaica",PMID,"18164558","Compositions and antifungal activities of essential oils of some Algerian aromatic plants."
"Artemisia judaica",PMID,"12736444","Dammarane triterpenes of Commiphora confusa resin."
"Artemisia judaica",PMID,"11449503","Antibacterial and molluscicidal activities of the essential oil of Chrysanthemum viscidehirtum."
"Artemisia judaica",PMID,"26208861","Plasmodium transmission blocking activities of Vernonia amygdalina extracts and isolated compounds."
"Artemisia judaica",PMID,"20554185","Anticandidal activity of the essential oils of Thymus maroccanus and Thymus broussonetii and their synergism with amphotericin B and fluconazol."
"Artemisia judaica",PMID,"22898386","Ring A-seco limonoids and flavonoids from the Kenyan Vepris uguenensis Engl. and their antioxidant activity."
"Artemisia judaica",PMID,"11830156","Two octanordammarane triterpenes from Commiphora kua."
"Artemisia judaica",PMID,"21240765","Chemical composition of essential oils from leaves, stems, flower heads and roots of Conyza bonariensis L. from Tunisia."
"Artemisia judaica",DOI,"10.1016/j.bse.2007.05.009","Chemical composition and antimicrobial activity of essential oils of Cupressus arizonica Greene"
"Artemisia judaica",DOI,"10.1016/j.phymed.2010.03.020","Anticandidal activity of the essential oils of Thymus maroccanus and Thymus broussonetii and their synergism with amphotericin B and fluconazol"
"Artemisia judaica",DOI,"10.1016/j.fitote.2007.11.004","Compositions and antifungal activities of essential oils of some Algerian aromatic plants"
"Artemisia judaica",DOI,"10.1016/j.phytol.2012.03.017","Antibacterial activity of an epoxidised prenylated cinnamaldehdye derivative from Vepris glomerata"
"Ammodaucus leucotrichus",PMID,"22906882","Chemical and genetic diversity of two Mediterranean subspecies of Teucrium polium L."
"Ammodaucus leucotrichus",PMID,"15474566","Repellency of essential oils of some Kenyan plants against Anopheles gambiae."
"Ammodaucus leucotrichus",PMID,"16766003","Three ent-trachylobane diterpenes from the leaf exudates of Psiadia punctulata."
"Ammodaucus leucotrichus",PMID,"27569885","Chemical composition, antiproliferative, antioxidant and antibacterial activities of essential oils from aromatic plants growing in Sudan."
